"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 16 17:37:23 CET 2022","Wed Nov 16 17:37:23 CET 2022","49","","Should open Alquiler page and check","","Should open Alquiler page and check","Sponsor categories each element's text corresponds 'Patrocinadores Oficiales'","Sponsor categories each element's text corresponds 'Patrocinadores Oficiales'",""
"passed","Wed Nov 16 17:35:50 CET 2022","Wed Nov 16 17:35:50 CET 2022","62","","Should open Albumes page and check","","Should open Albumes page and check","Sponsors list number of elements is 9","Sponsors list number of elements is 9",""
"passed","Wed Nov 16 17:37:06 CET 2022","Wed Nov 16 17:37:06 CET 2022","93","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each inner dropdown element's text corresponds 'Información'","Top menu each inner dropdown element's text corresponds 'Información'",""
"passed","Wed Nov 16 17:37:20 CET 2022","Wed Nov 16 17:37:20 CET 2022","59","","Should open Alquiler page and check","","Should open Alquiler page and check","Main text each element's text corresponds ' las siguientes instalaciones:'","Main text each element's text corresponds ' las siguientes instalaciones:'",""
"failed","Wed Nov 16 17:35:30 CET 2022","Wed Nov 16 17:35:32 CET 2022","1856","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each inner dropdown element's text corresponds 'Cadete Masculino'","Top menu each inner dropdown element's text corresponds 'Cadete Masculino'",""
"passed","Wed Nov 16 17:37:21 CET 2022","Wed Nov 16 17:37:21 CET 2022","69","","Should open Alquiler page and check","","Should open Alquiler page and check","Main text each element's text corresponds ' de cesped artificial '","Main text each element's text corresponds ' de cesped artificial '",""
"passed","Wed Nov 16 17:38:04 CET 2022","Wed Nov 16 17:38:04 CET 2022","44","","Should open App personalizada page and check","","Should open App personalizada page and check","Sponsor categories each element's text corresponds ''","Sponsor categories each element's text corresponds ''",""
"passed","Wed Nov 16 17:35:50 CET 2022","Wed Nov 16 17:35:50 CET 2022","51","","Should open Albumes page and check","","Should open Albumes page and check","Footer links text corresponds 'Configuración de cookies'","Footer links text corresponds 'Configuración de cookies'",""
"passed","Wed Nov 16 17:37:22 CET 2022","Wed Nov 16 17:37:22 CET 2022","72","","Should open Alquiler page and check","","Should open Alquiler page and check","Main text bold each element's text corresponds 'hockey'","Main text bold each element's text corresponds 'hockey'",""
"failed","Wed Nov 16 17:35:47 CET 2022","Wed Nov 16 17:35:48 CET 2022","1763","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each inner dropdown element's text corresponds 'Documentación'","Top menu each inner dropdown element's text corresponds 'Documentación'",""
"passed","Wed Nov 16 17:37:06 CET 2022","Wed Nov 16 17:37:06 CET 2022","96","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each inner dropdown element's text corresponds 'Equipos'","Top menu each inner dropdown element's text corresponds 'Equipos'",""
"failed","Wed Nov 16 17:37:07 CET 2022","Wed Nov 16 17:37:08 CET 2022","935","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each inner dropdown element's text corresponds 'División de Honor B'","Top menu each inner dropdown element's text corresponds 'División de Honor B'",""
"passed","Wed Nov 16 17:37:21 CET 2022","Wed Nov 16 17:37:21 CET 2022","63","","Should open Alquiler page and check","","Should open Alquiler page and check","Main text each element's text corresponds '.'","Main text each element's text corresponds '.'",""
"passed","Wed Nov 16 17:35:33 CET 2022","Wed Nov 16 17:35:33 CET 2022","53","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each element's text corresponds 'Comunicación'","Top menu each element's text corresponds 'Comunicación'",""
"passed","Wed Nov 16 17:36:09 CET 2022","Wed Nov 16 17:36:09 CET 2022","47","","Should open App personalizada page and check","","Should open App personalizada page and check","Home page club logotype is displayed","Home page club logotype is displayed",""
"passed","Wed Nov 16 17:37:42 CET 2022","Wed Nov 16 17:37:42 CET 2022","77","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each inner dropdown element's text corresponds 'Alquiler Instalaciones'","Top menu each inner dropdown element's text corresponds 'Alquiler Instalaciones'",""
"passed","Wed Nov 16 17:36:09 CET 2022","Wed Nov 16 17:36:09 CET 2022","35","","Should open App personalizada page and check","","Should open App personalizada page and check","Home page club logotype has attribute 'sizes' equal to '1400px'","Home page club logotype has attribute 'sizes' equal to '1400px'",""
"passed","Wed Nov 16 17:37:21 CET 2022","Wed Nov 16 17:37:21 CET 2022","64","","Should open Alquiler page and check","","Should open Alquiler page and check","Main text each element's text corresponds 'cerrado (salvo competición oficial)'","Main text each element's text corresponds 'cerrado (salvo competición oficial)'",""
"passed","Wed Nov 16 17:37:21 CET 2022","Wed Nov 16 17:37:22 CET 2022","170","","Should open Alquiler page and check","","Should open Alquiler page and check","Main text bold is displayed","Main text bold is displayed",""
"passed","Wed Nov 16 17:38:03 CET 2022","Wed Nov 16 17:38:03 CET 2022","48","","Should open App personalizada page and check","","Should open App personalizada page and check","Footer links text corresponds 'Condiciones de uso y aviso legal | '","Footer links text corresponds 'Condiciones de uso y aviso legal | '",""
"passed","Wed Nov 16 17:37:05 CET 2022","Wed Nov 16 17:37:05 CET 2022","87","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each inner dropdown element's text corresponds 'Entrenador Personal'","Top menu each inner dropdown element's text corresponds 'Entrenador Personal'",""
"failed","Wed Nov 16 17:37:45 CET 2022","Wed Nov 16 17:37:46 CET 2022","948","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each inner dropdown element's text corresponds '1ª División Masculina'","Top menu each inner dropdown element's text corresponds '1ª División Masculina'",""
"failed","Wed Nov 16 17:33:39 CET 2022","Wed Nov 16 17:35:11 CET 2022","91736","","Should open https://www.chbenalmadena.com/es and check","","Should open https://www.chbenalmadena.com/es and check","click on login button and check login modal is visible","click on login button and check login modal is visible",""
"passed","Wed Nov 16 17:37:23 CET 2022","Wed Nov 16 17:37:23 CET 2022","49","","Should open Alquiler page and check","","Should open Alquiler page and check","Footer links text corresponds 'Configuración de cookies'","Footer links text corresponds 'Configuración de cookies'",""
"failed","Wed Nov 16 17:33:48 CET 2022","Wed Nov 16 17:35:20 CET 2022","91861","","Should open Albumes page and check","","Should open Albumes page and check","Top menu number of inner elements","Top menu number of inner elements",""
"failed","Wed Nov 16 17:37:51 CET 2022","Wed Nov 16 17:37:52 CET 2022","956","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each inner dropdown element's text corresponds 'Fotos'","Top menu each inner dropdown element's text corresponds 'Fotos'",""
"failed","Wed Nov 16 17:37:56 CET 2022","Wed Nov 16 17:37:57 CET 2022","968","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each inner dropdown element's text corresponds 'Documentación'","Top menu each inner dropdown element's text corresponds 'Documentación'",""
"passed","Wed Nov 16 17:35:50 CET 2022","Wed Nov 16 17:35:50 CET 2022","43","","Should open Albumes page and check","","Should open Albumes page and check","Sponsor categories each element's text corresponds ''","Sponsor categories each element's text corresponds ''",""
"passed","Wed Nov 16 17:35:50 CET 2022","Wed Nov 16 17:35:50 CET 2022","53","","Should open Albumes page and check","","Should open Albumes page and check","Footer links text corresponds 'Política de cookies | '","Footer links text corresponds 'Política de cookies | '",""
"failed","Wed Nov 16 17:35:21 CET 2022","Wed Nov 16 17:35:23 CET 2022","1788","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each inner dropdown element's text corresponds 'Protocolo'","Top menu each inner dropdown element's text corresponds 'Protocolo'",""
"passed","Wed Nov 16 17:38:03 CET 2022","Wed Nov 16 17:38:03 CET 2022","53","","Should open App personalizada page and check","","Should open App personalizada page and check","Footer links text corresponds 'Protección de datos | '","Footer links text corresponds 'Protección de datos | '",""
"passed","Wed Nov 16 17:37:06 CET 2022","Wed Nov 16 17:37:06 CET 2022","75","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each inner dropdown element's text corresponds 'Alquiler Instalaciones'","Top menu each inner dropdown element's text corresponds 'Alquiler Instalaciones'",""
"failed","Wed Nov 16 17:37:48 CET 2022","Wed Nov 16 17:37:49 CET 2022","992","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each inner dropdown element's text corresponds 'Infantil (Femenino y Masculino)'","Top menu each inner dropdown element's text corresponds 'Infantil (Femenino y Masculino)'",""
"failed","Wed Nov 16 17:37:59 CET 2022","Wed Nov 16 17:38:00 CET 2022","997","","Should open App personalizada page and check","","Should open App personalizada page and check","Main text each element's text corresponds 'Multicanal. Envía la notificación por email y/o aplicación móvil, personaliza el contenido y la página de destino'","Main text each element's text corresponds 'Multicanal. Envía la notificación por email y/o aplicación móvil, personaliza el contenido y la página de destino'",""
"passed","Wed Nov 16 17:37:20 CET 2022","Wed Nov 16 17:37:20 CET 2022","62","","Should open Alquiler page and check","","Should open Alquiler page and check","Main text each element's text corresponds '- 1 Campo de césped artificial ideal para la práctica de '","Main text each element's text corresponds '- 1 Campo de césped artificial ideal para la práctica de '",""
"passed","Wed Nov 16 17:38:02 CET 2022","Wed Nov 16 17:38:02 CET 2022","68","","Should open App personalizada page and check","","Should open App personalizada page and check","Main text each element's text corresponds 'Gestión inteligente'","Main text each element's text corresponds 'Gestión inteligente'",""
"passed","Wed Nov 16 17:37:21 CET 2022","Wed Nov 16 17:37:21 CET 2022","67","","Should open Alquiler page and check","","Should open Alquiler page and check","Main text each element's text corresponds '- 1 '","Main text each element's text corresponds '- 1 '",""
"passed","Wed Nov 16 17:37:05 CET 2022","Wed Nov 16 17:37:05 CET 2022","78","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each inner dropdown element's text corresponds 'Instalaciones'","Top menu each inner dropdown element's text corresponds 'Instalaciones'",""
"passed","Wed Nov 16 17:38:02 CET 2022","Wed Nov 16 17:38:02 CET 2022","51","","Should open App personalizada page and check","","Should open App personalizada page and check","Main text each element's text corresponds 'Comunicación efectiva'","Main text each element's text corresponds 'Comunicación efectiva'",""
"passed","Wed Nov 16 17:35:33 CET 2022","Wed Nov 16 17:35:33 CET 2022","178","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu elements are displayed","Top menu elements are displayed",""
"failed","Wed Nov 16 17:35:36 CET 2022","Wed Nov 16 17:35:38 CET 2022","1831","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each inner dropdown element's text corresponds 'App personalizada'","Top menu each inner dropdown element's text corresponds 'App personalizada'",""
"passed","Wed Nov 16 17:37:23 CET 2022","Wed Nov 16 17:37:23 CET 2022","49","","Should open Alquiler page and check","","Should open Alquiler page and check","Footer links text corresponds 'Política de cookies | '","Footer links text corresponds 'Política de cookies | '",""
"failed","Wed Nov 16 17:37:53 CET 2022","Wed Nov 16 17:37:54 CET 2022","962","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each inner dropdown element's text corresponds 'Vídeos'","Top menu each inner dropdown element's text corresponds 'Vídeos'",""
"passed","Wed Nov 16 17:37:22 CET 2022","Wed Nov 16 17:37:22 CET 2022","56","","Should open Alquiler page and check","","Should open Alquiler page and check","Main text bold each element's text corresponds 'Lunes a viernes'","Main text bold each element's text corresponds 'Lunes a viernes'",""
"passed","Wed Nov 16 17:37:05 CET 2022","Wed Nov 16 17:37:05 CET 2022","75","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each inner dropdown element's text corresponds 'Historia'","Top menu each inner dropdown element's text corresponds 'Historia'",""
"passed","Wed Nov 16 17:38:03 CET 2022","Wed Nov 16 17:38:03 CET 2022","58","","Should open App personalizada page and check","","Should open App personalizada page and check","Footer links text corresponds 'Política de cookies | '","Footer links text corresponds 'Política de cookies | '",""
"passed","Wed Nov 16 17:38:03 CET 2022","Wed Nov 16 17:38:03 CET 2022","49","","Should open App personalizada page and check","","Should open App personalizada page and check","Footer links text corresponds 'Configuración de cookies'","Footer links text corresponds 'Configuración de cookies'",""
"passed","Wed Nov 16 17:38:03 CET 2022","Wed Nov 16 17:38:03 CET 2022","55","","Should open App personalizada page and check","","Should open App personalizada page and check","Footer links text corresponds 'Club de Hockey Benalmádena'","Footer links text corresponds 'Club de Hockey Benalmádena'",""
"passed","Wed Nov 16 17:36:10 CET 2022","Wed Nov 16 17:36:10 CET 2022","51","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each element's text corresponds 'Temporada'","Top menu each element's text corresponds 'Temporada'",""
"failed","Wed Nov 16 17:35:25 CET 2022","Wed Nov 16 17:35:26 CET 2022","1821","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each inner dropdown element's text corresponds '1ª División Masculina'","Top menu each inner dropdown element's text corresponds '1ª División Masculina'",""
"passed","Wed Nov 16 17:35:33 CET 2022","Wed Nov 16 17:35:33 CET 2022","57","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each element's text corresponds 'Clasificaciones'","Top menu each element's text corresponds 'Clasificaciones'",""
"passed","Wed Nov 16 17:35:48 CET 2022","Wed Nov 16 17:35:49 CET 2022","212","","Should open Albumes page and check","","Should open Albumes page and check","Top social links are displayed","Top social links are displayed",""
"passed","Wed Nov 16 17:33:47 CET 2022","Wed Nov 16 17:33:47 CET 2022","55","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each element's text corresponds 'Oficina online'","Top menu each element's text corresponds 'Oficina online'",""
"passed","Wed Nov 16 17:38:03 CET 2022","Wed Nov 16 17:38:04 CET 2022","48","","Should open App personalizada page and check","","Should open App personalizada page and check","Sponsor categories each element's text corresponds 'Patrocinadores Oficiales'","Sponsor categories each element's text corresponds 'Patrocinadores Oficiales'",""
"passed","Wed Nov 16 17:33:47 CET 2022","Wed Nov 16 17:33:48 CET 2022","645","","Should open Albumes page and check","","Should open Albumes page and check","Top menu inner elements are displayed","Top menu inner elements are displayed",""
"failed","Wed Nov 16 17:37:09 CET 2022","Wed Nov 16 17:37:10 CET 2022","905","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each inner dropdown element's text corresponds '1ª División Femenina'","Top menu each inner dropdown element's text corresponds '1ª División Femenina'",""
"passed","Wed Nov 16 17:38:03 CET 2022","Wed Nov 16 17:38:03 CET 2022","79","","Should open App personalizada page and check","","Should open App personalizada page and check","Image banners on the Home page are displayed","Image banners on the Home page are displayed",""
"failed","Wed Nov 16 17:37:16 CET 2022","Wed Nov 16 17:37:17 CET 2022","892","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each inner dropdown element's text corresponds 'Vídeos'","Top menu each inner dropdown element's text corresponds 'Vídeos'",""
"passed","Wed Nov 16 17:37:21 CET 2022","Wed Nov 16 17:37:21 CET 2022","112","","Should open Alquiler page and check","","Should open Alquiler page and check","Main text each element's text corresponds 'reservas@chbenalmadena.com'","Main text each element's text corresponds 'reservas@chbenalmadena.com'",""
"passed","Wed Nov 16 17:35:21 CET 2022","Wed Nov 16 17:35:21 CET 2022","112","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each inner dropdown element's text corresponds 'Equipos'","Top menu each inner dropdown element's text corresponds 'Equipos'",""
"passed","Wed Nov 16 17:37:42 CET 2022","Wed Nov 16 17:37:42 CET 2022","80","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each inner dropdown element's text corresponds 'Entrenador Personal'","Top menu each inner dropdown element's text corresponds 'Entrenador Personal'",""
"passed","Wed Nov 16 17:36:02 CET 2022","Wed Nov 16 17:36:08 CET 2022","6849","","Should open App personalizada page and check","","Should open App personalizada page and check","App personalizada page header is Club de Hockey Benalmádena","App personalizada page header is Club de Hockey Benalmádena",""
"passed","Wed Nov 16 17:35:20 CET 2022","Wed Nov 16 17:35:20 CET 2022","76","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each inner dropdown element's text corresponds 'Entrenador Personal'","Top menu each inner dropdown element's text corresponds 'Entrenador Personal'",""
"passed","Wed Nov 16 17:37:42 CET 2022","Wed Nov 16 17:37:43 CET 2022","76","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each inner dropdown element's text corresponds 'Equipos'","Top menu each inner dropdown element's text corresponds 'Equipos'",""
"failed","Wed Nov 16 17:37:11 CET 2022","Wed Nov 16 17:37:12 CET 2022","929","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each inner dropdown element's text corresponds 'Infantil (Femenino y Masculino)'","Top menu each inner dropdown element's text corresponds 'Infantil (Femenino y Masculino)'",""
"passed","Wed Nov 16 17:37:22 CET 2022","Wed Nov 16 17:37:22 CET 2022","59","","Should open Alquiler page and check","","Should open Alquiler page and check","Main text bold each element's text corresponds 'fútbol 7'","Main text bold each element's text corresponds 'fútbol 7'",""
"failed","Wed Nov 16 17:37:47 CET 2022","Wed Nov 16 17:37:48 CET 2022","968","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each inner dropdown element's text corresponds 'Cadete Masculino'","Top menu each inner dropdown element's text corresponds 'Cadete Masculino'",""
"passed","Wed Nov 16 17:38:03 CET 2022","Wed Nov 16 17:38:03 CET 2022","232","","Should open App personalizada page and check","","Should open App personalizada page and check","Main content links are displayed","Main content links are displayed",""
"failed","Wed Nov 16 17:37:13 CET 2022","Wed Nov 16 17:37:14 CET 2022","893","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each inner dropdown element's text corresponds 'App personalizada'","Top menu each inner dropdown element's text corresponds 'App personalizada'",""
"passed","Wed Nov 16 17:37:21 CET 2022","Wed Nov 16 17:37:21 CET 2022","60","","Should open Alquiler page and check","","Should open Alquiler page and check","Main text each element's text corresponds 'de 9:00 a 14:00'","Main text each element's text corresponds 'de 9:00 a 14:00'",""
"passed","Wed Nov 16 17:38:03 CET 2022","Wed Nov 16 17:38:03 CET 2022","42","","Should open App personalizada page and check","","Should open App personalizada page and check","Footer on the Home page is displayed","Footer on the Home page is displayed",""
"passed","Wed Nov 16 17:35:50 CET 2022","Wed Nov 16 17:35:50 CET 2022","54","","Should open Albumes page and check","","Should open Albumes page and check","Sponsor categories each element's text corresponds 'Patrocinador Principal'","Sponsor categories each element's text corresponds 'Patrocinador Principal'",""
"failed","Wed Nov 16 17:37:44 CET 2022","Wed Nov 16 17:37:45 CET 2022","967","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each inner dropdown element's text corresponds 'División de Honor B'","Top menu each inner dropdown element's text corresponds 'División de Honor B'",""
"passed","Wed Nov 16 17:35:20 CET 2022","Wed Nov 16 17:35:20 CET 2022","82","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each inner dropdown element's text corresponds 'Contacto'","Top menu each inner dropdown element's text corresponds 'Contacto'",""
"passed","Wed Nov 16 17:37:05 CET 2022","Wed Nov 16 17:37:05 CET 2022","78","","Should open Alquiler page and check","","Should open Alquiler page and check","Top menu each inner dropdown element's text corresponds 'Patrocinadores'","Top menu each inner dropdown element's text corresponds 'Patrocinadores'",""
"passed","Wed Nov 16 17:36:08 CET 2022","Wed Nov 16 17:36:09 CET 2022","174","","Should open App personalizada page and check","","Should open App personalizada page and check","App personalizada page subheader is Notificaciones y comunicación","App personalizada page subheader is Notificaciones y comunicación",""
"passed","Wed Nov 16 17:33:47 CET 2022","Wed Nov 16 17:33:47 CET 2022","136","","Should open Albumes page and check","","Should open Albumes page and check","Top menu each element's text corresponds 'Comunicación'","Top menu each element's text corresponds 'Comunicación'",""
"passed","Wed Nov 16 17:37:23 CET 2022","Wed Nov 16 17:37:23 CET 2022","78","","Should open Alquiler page and check","","Should open Alquiler page and check","Sponsor categories each element's text corresponds ''","Sponsor categories each element's text corresponds ''",""
"failed","Wed Nov 16 17:37:46 CET 2022","Wed Nov 16 17:37:47 CET 2022","952","","Should open App personalizada page and check","","Should open App personalizada page and check","Top menu each inner dropdown element's text corresponds 'Cadete Femenino'","Top menu each inner dropdown element's text corresponds 'Cadete Femenino'",""
